trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
758,False,"{'a': 0.5, 'e': 0.04821910341670324}",30,24,11.309130998241631,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.5, 'e': 0.048026612242040585}",20,7,25.47495630614829,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.5, 'e': 0.04783488949419837}",25,10,9.70650971757298,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
761,False,"{'a': 0.5, 'e': 0.047643932105608536}",25,17,17.177372291676456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.5, 'e': 0.0474537370209488}",25,14,26.697365939237088,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.5, 'e': 0.047264301197093746}",20,11,15.135009396049613,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.5, 'e': 0.04707562160306615}",30,17,23.469641844227237,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.5, 'e': 0.046887695219988486}",20,13,12.985660218652331,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.5, 'e': 0.04670051904103461}",30,17,21.227229683136713,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.5, 'e': 0.04651409007138167}",25,3,31.63759306235914,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.5, 'e': 0.046328405328162174}",20,9,22.338587715847094,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.5, 'e': 0.04614346184041627}",20,6,26.354305322072737,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.5, 'e': 0.045959256649044204}",25,7,33.42490987895314,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.5, 'e': 0.04577578680675899}",20,12,14.801966166033646,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.5, 'e': 0.045593049378039235}",25,20,11.221918185965464,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.5, 'e': 0.04541104143908218}",20,2,36.139944870471716,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.5, 'e': 0.04522976007775692}",30,7,33.35844483966967,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.5, 'e': 0.0450492023935578}",25,11,14.334924973342645,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
776,False,"{'a': 0.5, 'e': 0.04486936549755803}",25,20,11.382580168610895,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
777,False,"{'a': 0.5, 'e': 0.04469024651236344}",20,16,9.198386833273261,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.5, 'e': 0.04451184257206644}",25,11,22.380309649605795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.5, 'e': 0.04433415082220017}",35,15,-47.00717196305228,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
780,False,"{'a': 0.5, 'e': 0.04415716841969286}",25,15,9.990912793257273,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
781,False,"{'a': 0.5, 'e': 0.04398089253282229}",20,13,12.413180999857962,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.5, 'e': 0.04380532034117049}",20,4,27.334091497318298,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.5, 'e': 0.043630449035578674}",20,15,6.363097642106518,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.5, 'e': 0.04345627581810221}",25,10,36.13331412380165,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
785,False,"{'a': 0.5, 'e': 0.043282797901965896}",20,15,11.906303697482974,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
